"id:ID","length:INT"
"7","461"
"8","879"
"9","829"
"10","732"
"11","857"
"13","294"
"14","306"
"15","597"
"16","396"
"17","518"
"19","974"
"20","324"
"21","996"
"22","455"
"23","582"
"30","679"
"31","745"
"32","711"
"33","733"
"34","449"
"36","483"
"37","636"
"38","849"
"39","345"
"40","771"
"42","209"
"43","721"
"44","436"
"45","818"
"46","153"
"48","764"
"49","872"
"50","515"
"51","11"
"52","994"
"54","692"
"55","590"
"56","896"
"57","325"
"58","800"
"62","220"
"63","929"
"64","152"
"65","886"
"66","23"
"68","437"
"69","375"
"70","942"
"71","18"
"72","488"
"74","511"
"75","625"
"76","111"
"77","757"
"78","711"
"80","789"
"81","456"
"82","434"
"83","613"
"84","801"
"86","608"
"87","829"
"88","619"
"89","620"
"90","181"
"92","703"
"93","763"
"94","890"
"95","736"
"96","836"
"98","366"
"99","638"
"100","102"
"101","517"
"102","785"
"106","657"
"107","931"
"108","119"
"109","342"
"110","986"
"112","212"
"113","907"
"114","118"
"115","533"
"116","510"
"118","881"
"119","740"
"120","897"
"121","685"
"122","630"
"124","39"
"125","91"
"126","963"
"127","802"
"128","402"
"130","547"
"131","836"
"132","579"
"133","218"
"134","191"
"136","333"
"137","923"
"138","627"
"139","699"
"140","11"
"142","343"
"143","771"
"144","288"
"145","964"
"146","518"
"150","404"
"151","111"
"152","852"
"153","36"
"154","458"
"156","684"
"157","156"
"158","754"
"159","901"
"160","534"
"162","373"
"163","507"
"164","348"
"165","411"
"166","541"
"168","565"
"169","883"
"170","415"
"171","136"
"172","640"
"174","933"
"175","976"
"176","644"
"177","519"
"178","643"
"180","60"
"181","718"
"182","553"
"183","536"
"184","783"
"186","36"
"187","263"
"188","970"
"189","39"
"190","83"
"192","777"
"193","546"
"194","352"
"195","742"
"196","177"
"198","386"
"199","781"
"200","83"
"201","973"
"202","918"
"209","130"
"210","69"
"211","47"
"212","521"
"213","21"
"215","993"
"216","455"
"217","325"
"218","536"
"219","108"
"223","917"
"224","569"
"225","971"
"226","593"
"227","358"
"229","718"
"230","307"
"231","161"
"232","1000"
"233","534"
"235","750"
"236","200"
"237","79"
"238","135"
"239","493"
"241","758"
"242","89"
"243","135"
"244","735"
"245","342"
"247","78"
"248","56"
"249","161"
"250","145"
"251","904"
"258","900"
"259","449"
"260","51"
"261","332"
"262","282"
"264","777"
"265","997"
"266","596"
"267","331"
"268","500"
"270","578"
"271","596"
"272","836"
"273","120"
"274","173"
"276","654"
"277","96"
"278","997"
"279","809"
"280","373"
"284","806"
"285","690"
"286","855"
"287","838"
"288","31"
"290","410"
"291","256"
"292","673"
"293","101"
"294","838"
"296","294"
"297","488"
"298","861"
"299","674"
"300","723"
"302","915"
"303","182"
"304","22"
"305","75"
"306","456"
"308","342"
"309","501"
"310","953"
"311","917"
"312","827"
"314","638"
"315","669"
"316","546"
"317","443"
"318","127"
"320","941"
"321","26"
"322","939"
"323","703"
"324","625"
"326","994"
"327","837"
"328","479"
"329","297"
"330","430"
"334","772"
"335","469"
"336","863"
"337","62"
"338","57"
"340","307"
"341","116"
"342","252"
"343","795"
"344","392"
"346","764"
"347","230"
"348","83"
"349","102"
"350","351"
"352","132"
"353","455"
"354","678"
"355","489"
"356","540"
"358","682"
"359","76"
"360","169"
"361","171"
"362","26"
"364","421"
"365","188"
"366","149"
"367","413"
"368","709"
"370","36"
"371","578"
"372","322"
"373","563"
"374","860"
"376","611"
"377","98"
"378","107"
"379","360"
"380","499"
"384","181"
"385","724"
"386","455"
"387","296"
"388","686"
"390","613"
"391","83"
"392","625"
"393","605"
"394","501"
"396","187"
"397","717"
"398","779"
"399","520"
"400","585"
"402","194"
"403","60"
"404","686"
"405","867"
"406","940"
"410","658"
"411","101"
"412","696"
"413","357"
"414","710"
"416","462"
"417","718"
"418","907"
"419","225"
"420","409"
"424","536"
"425","818"
"426","378"
"427","68"
"428","124"
"430","796"
"431","649"
"432","697"
"433","1000"
"434","827"
"436","555"
"437","578"
"438","597"
"439","992"
"440","149"
"442","333"
"443","799"
"444","807"
"445","7"
"446","887"
"448","638"
"449","451"
"450","623"
"451","298"
"452","486"
"454","208"
"455","584"
"456","428"
"457","843"
"458","989"
"462","523"
"463","595"
"464","177"
"465","490"
"466","780"
"468","980"
"469","743"
"470","316"
"471","668"
"472","152"
"476","969"
"477","316"
"478","9"
"479","941"
"480","134"
"482","686"
"483","759"
"484","357"
"485","533"
"486","174"
"488","831"
"489","573"
"490","237"
"491","95"
"492","669"
"494","597"
"495","995"
"496","382"
"497","685"
"498","759"
"500","514"
"501","214"
"502","574"
"503","868"
"504","938"
"506","974"
"507","44"
"508","696"
"509","674"
"510","493"
"512","578"
"513","832"
"514","741"
"515","343"
"516","261"
"518","19"
"519","923"
"520","848"
"521","808"
"522","77"
"526","864"
"527","201"
"528","986"
"529","986"
"530","487"
"532","70"
"533","104"
"534","723"
"535","880"
"536","375"
"543","560"
"544","694"
"545","780"
"546","372"
"547","911"
"549","452"
"550","887"
"551","461"
"552","183"
"553","818"
"555","852"
"556","364"
"557","525"
"558","615"
"559","721"
"561","252"
"562","147"
"563","495"
"564","341"
"565","803"
"567","27"
"568","149"
"569","723"
"570","595"
"571","714"
"573","391"
"574","564"
"575","171"
"576","730"
"577","387"
"579","781"
"580","82"
"581","963"
"582","647"
"583","666"
"587","741"
"588","610"
"589","32"
"590","44"
"591","700"
"593","320"
"594","881"
"595","140"
"596","91"
"597","701"
"599","244"
"600","891"
"601","820"
"602","913"
"603","871"
"605","997"
"606","681"
"607","80"
"608","913"
"609","492"
"613","745"
"614","900"
"615","482"
"616","758"
"617","723"
"621","249"
"622","290"
"623","349"
"624","602"
"625","248"
"627","664"
"628","192"
"629","759"
"630","180"
"631","504"
"633","758"
"634","762"
"635","364"
"636","566"
"637","367"
"639","427"
"640","461"
"641","883"
"642","255"
"643","265"
"647","551"
"648","942"
"649","403"
"650","615"
"651","887"
"653","667"
"654","285"
"655","889"
"656","87"
"657","271"
"659","511"
"660","11"
"661","153"
"662","444"
"663","576"
"665","356"
"666","229"
"667","541"
"668","924"
"669","801"
"673","625"
"674","883"
"675","378"
"676","805"
"677","787"
"679","576"
"680","734"
"681","720"
"682","382"
"683","79"
"685","565"
"686","618"
"687","132"
"688","133"
"689","108"
"691","574"
"692","81"
"693","832"
"694","45"
"695","843"
"697","979"
"698","354"
"699","455"
"700","272"
"701","655"
"703","320"
"704","867"
"705","212"
"706","546"
"707","570"
"709","69"
"710","645"
"711","250"
"712","344"
"713","553"
"717","957"
"718","481"
"719","14"
"720","897"
"721","604"
"723","383"
"724","27"
"725","795"
"726","156"
"727","479"
"729","934"
"730","748"
"731","899"
"732","15"
"733","103"
"735","685"
"736","281"
"737","141"
"738","53"
"739","915"
"741","18"
"742","145"
"743","841"
"744","410"
"745","653"
"749","959"
"750","159"
"751","983"
"752","302"
"753","334"
"755","395"
"756","710"
"757","407"
"758","183"
"759","305"
"761","515"
"762","767"
"763","915"
"764","191"
"765","989"
"767","513"
"768","105"
"769","481"
"770","830"
"771","843"
"773","649"
"774","772"
"775","769"
"776","857"
"777","350"
"781","563"
"782","355"
"783","735"
"784","137"
"785","770"
"787","185"
"788","155"
"789","557"
"790","22"
"791","964"
"793","428"
"794","662"
"795","219"
"796","409"
"797","851"
"799","387"
"800","782"
"801","848"
"802","630"
"803","428"
"805","935"
"806","754"
"807","782"
"808","316"
"809","772"
"811","43"
"812","658"
"813","417"
"814","118"
"815","243"
"819","788"
"820","437"
"821","552"
"822","641"
"823","497"
"825","608"
"826","689"
"827","471"
"828","641"
"829","692"
"831","995"
"832","899"
"833","487"
"834","960"
"835","10"
"837","506"
"838","846"
"839","457"
"840","319"
"841","68"
"845","222"
"846","629"
"847","941"
"848","954"
"849","470"
"851","946"
"852","565"
"853","92"
"854","11"
"855","663"
"857","436"
"858","193"
"859","421"
"860","140"
"861","122"
"863","266"
"864","46"
"865","731"
"866","916"
"867","887"
"871","781"
"872","850"
"873","849"
"874","70"
"875","950"
"877","499"
"878","165"
"879","369"
"880","260"
"881","727"
"883","704"
"884","496"
"885","115"
"886","829"
"887","490"
"889","18"
"890","19"
"891","304"
"892","542"
"893","145"
"897","581"
"898","39"
"899","66"
"900","782"
"901","968"
"903","574"
"904","41"
"905","134"
"906","821"
"907","44"
"909","268"
"910","934"
"911","842"
"912","3"
"913","471"
"915","610"
"916","161"
"917","234"
"918","951"
"919","553"
"923","672"
"924","340"
"925","366"
"926","128"
"927","833"
"929","197"
"930","918"
"931","388"
"932","246"
"933","175"
"935","313"
"936","917"
"937","941"
"938","60"
"939","381"
"941","256"
"942","192"
"943","563"
"944","815"
"945","547"
"947","230"
"948","2"
"949","186"
"950","560"
"951","801"
"953","814"
"954","257"
"955","26"
"956","343"
"957","881"
"959","63"
"960","653"
"961","323"
"962","172"
"963","756"
"965","37"
"966","597"
"967","869"
"968","13"
"969","124"
"971","135"
"972","267"
"973","771"
"974","261"
"975","132"
"979","185"
"980","525"
"981","674"
"982","478"
"983","86"
"985","263"
"986","301"
"987","608"
"988","123"
"989","251"
"991","913"
"992","282"
"993","548"
"994","129"
"995","890"
"997","637"
"998","647"
"999","681"
"1000","732"
"1001","309"
"1003","463"
"1004","734"
"1005","921"
"1006","527"
"1007","267"
"1009","240"
"1010","589"
"1011","963"
"1012","77"
"1013","74"
"1020","682"
"1021","392"
"1022","800"
"1023","284"
"1024","385"
"1031","787"
"1032","33"
"1033","874"
"1034","585"
"1035","366"
"1037","393"
"1038","862"
"1039","52"
"1040","54"
"1041","364"
"1043","279"
"1044","801"
"1045","210"
"1046","575"
"1047","407"
"1049","961"
"1050","731"
"1051","601"
"1052","807"
"1053","183"
"1055","922"
"1056","250"
"1057","518"
"1058","205"
"1059","508"
"1063","924"
"1064","403"
"1065","124"
"1066","808"
"1067","323"
"1069","165"
"1070","954"
"1071","891"
"1072","929"
"1073","849"
"1075","196"
"1076","120"
"1077","70"
"1078","604"
"1079","33"
"1081","85"
"1082","784"
"1083","234"
"1084","627"
"1085","94"
"1087","365"
"1088","488"
"1089","583"
"1090","972"
"1091","533"
"1093","75"
"1094","533"
"1095","688"
"1096","953"
"1097","322"
"1099","292"
"1100","320"
"1101","793"
"1102","991"
"1103","845"
"1107","931"
"1108","172"
"1109","186"
"1110","875"
"1111","938"
"1113","560"
"1114","684"
"1115","669"
"1116","461"
"1117","547"
"1119","125"
"1120","712"
"1121","357"
"1122","766"
"1123","29"
"1125","453"
"1126","171"
"1127","880"
"1128","512"
"1129","216"
"1131","781"
"1132","831"
"1133","731"
"1134","11"
"1135","899"
"1139","531"
"1140","614"
"1141","315"
"1142","757"
"1143","722"
"1147","467"
"1148","892"
"1149","515"
"1150","749"
"1151","655"
"1153","49"
"1154","815"
"1155","152"
"1156","718"
"1157","445"
"1159","75"
"1160","305"
"1161","571"
"1162","817"
"1163","768"
"1165","359"
"1166","145"
"1167","201"
"1168","354"
"1169","750"
"1171","262"
"1172","417"
"1173","729"
"1174","613"
"1175","807"
"1179","603"
"1180","665"
"1181","858"
"1182","435"
"1183","469"
"1185","252"
"1186","835"
"1187","337"
"1188","757"
"1189","729"
"1191","398"
"1192","997"
"1193","457"
"1194","779"
"1195","537"
"1197","450"
"1198","748"
"1199","756"
"1200","567"
"1201","777"
"1203","699"
"1204","881"
"1205","797"
"1206","777"
"1207","170"
"1209","872"
"1210","711"
"1211","903"
"1212","86"
"1213","694"
"1215","985"
"1216","853"
"1217","654"
"1218","819"
"1219","874"
"1221","730"
"1222","777"
"1223","556"
"1224","972"
"1225","142"
"1227","812"
"1228","495"
"1229","381"
"1230","403"
"1231","576"
"1235","688"
"1236","407"
"1237","865"
"1238","401"
"1239","144"
"1241","931"
"1242","163"
"1243","417"
"1244","634"
"1245","561"
"1247","760"
"1248","547"
"1249","209"
"1250","302"
"1251","41"
"1253","471"
"1254","451"
"1255","954"
"1256","154"
"1257","300"
"1259","244"
"1260","121"
"1261","111"
"1262","931"
"1263","307"
"1265","935"
"1266","677"
"1267","940"
"1268","107"
"1269","607"
"1271","371"
"1272","526"
"1273","958"
"1274","591"
"1275","172"
"1277","695"
"1278","306"
"1279","617"
"1280","444"
"1281","170"
"1285","597"
"1286","771"
"1287","469"
"1288","971"
"1289","724"
"1291","240"
"1292","833"
