"id:ID","currentPosition"
"5","FAILURE"
"28","STRAIGHT"
"60","STRAIGHT"
"104","STRAIGHT"
"148","STRAIGHT"
"207","FAILURE"
"221","FAILURE"
"256","FAILURE"
"282","FAILURE"
"332","STRAIGHT"
"382","STRAIGHT"
"408","DIVERGING"
"422","FAILURE"
"460","FAILURE"
"474","DIVERGING"
"524","STRAIGHT"
"541","STRAIGHT"
"585","FAILURE"
"611","DIVERGING"
"619","FAILURE"
"645","STRAIGHT"
"671","DIVERGING"
"715","DIVERGING"
"747","FAILURE"
"779","FAILURE"
"817","STRAIGHT"
"843","FAILURE"
"869","FAILURE"
"895","DIVERGING"
"921","FAILURE"
"977","FAILURE"
"1018","STRAIGHT"
"1029","DIVERGING"
"1061","STRAIGHT"
"1105","FAILURE"
"1137","STRAIGHT"
"1145","FAILURE"
"1177","FAILURE"
"1233","FAILURE"
"1283","DIVERGING"
"1303","DIVERGING"
"1311","STRAIGHT"
"1367","DIVERGING"
"1393","STRAIGHT"
"1437","STRAIGHT"
"1469","FAILURE"
"1495","DIVERGING"
"1536","STRAIGHT"
"1574","DIVERGING"
"1600","STRAIGHT"
"1626","STRAIGHT"
"1661","FAILURE"
"1711","STRAIGHT"
"1761","FAILURE"
"1811","STRAIGHT"
"1821","STRAIGHT"
"1835","FAILURE"
"1867","DIVERGING"
"1893","DIVERGING"
"1937","DIVERGING"
"1969","STRAIGHT"
"2013","FAILURE"
