"id:ID","position"
"24","FAILURE"
"59","STRAIGHT"
"103","STRAIGHT"
"147","STRAIGHT"
"203","STRAIGHT"
"220","FAILURE"
"252","FAILURE"
"281","FAILURE"
"331","FAILURE"
"381","STRAIGHT"
"407","STRAIGHT"
"421","DIVERGING"
"459","FAILURE"
"473","FAILURE"
"523","DIVERGING"
"537","STRAIGHT"
"584","STRAIGHT"
"610","FAILURE"
"618","DIVERGING"
"644","FAILURE"
"670","STRAIGHT"
"714","DIVERGING"
"746","DIVERGING"
"778","FAILURE"
"816","FAILURE"
"842","STRAIGHT"
"868","FAILURE"
"894","FAILURE"
"920","DIVERGING"
"976","FAILURE"
"1014","FAILURE"
"1025","STRAIGHT"
"1060","DIVERGING"
"1104","STRAIGHT"
"1136","FAILURE"
"1144","STRAIGHT"
"1176","FAILURE"
"1232","FAILURE"
"1282","FAILURE"
"1302","DIVERGING"
"1310","DIVERGING"
"1366","STRAIGHT"
"1392","DIVERGING"
"1436","STRAIGHT"
"1468","STRAIGHT"
"1494","FAILURE"
"1532","DIVERGING"
"1573","STRAIGHT"
"1599","DIVERGING"
"1625","STRAIGHT"
"1657","STRAIGHT"
"1710","FAILURE"
"1760","STRAIGHT"
"1810","FAILURE"
"1818","STRAIGHT"
"1834","STRAIGHT"
"1866","FAILURE"
"1892","DIVERGING"
"1936","DIVERGING"
"1968","DIVERGING"
"2012","STRAIGHT"
"2038","FAILURE"
