"id:START_ID","id:END_ID"
"3","24"
"26","203"
"26","147"
"26","103"
"26","59"
"205","252"
"205","220"
"254","381"
"254","407"
"254","421"
"254","459"
"254","473"
"254","523"
"254","537"
"254","281"
"254","331"
"539","714"
"539","746"
"539","670"
"539","618"
"539","610"
"539","644"
"539","842"
"539","868"
"539","778"
"539","816"
"539","976"
"539","894"
"539","920"
"539","1014"
"539","584"
"1016","1025"
"1027","1436"
"1027","1468"
"1027","1494"
"1027","1532"
"1027","1366"
"1027","1392"
"1027","1060"
"1027","1176"
"1027","1144"
"1027","1136"
"1027","1104"
"1027","1302"
"1027","1310"
"1027","1282"
"1027","1232"
"1534","1657"
"1534","1625"
"1534","1599"
"1534","1573"
"1659","1760"
"1659","1710"
"1659","1810"
"1659","1818"
"1819","2038"
"1819","2012"
"1819","1834"
"1819","1936"
"1819","1968"
"1819","1866"
"1819","1892"
