"id:START_ID","id:END_ID"
"48","5"
"101","52"
"157","102"
"186","161"
"218","187"
"238","219"
"288","239"
"347","292"
"406","351"
"462","407"
"470","463"
"526","471"
"582","527"
"614","583"
"622","615"
"678","623"
"722","679"
"754","723"
"801","758"
"857","802"
"889","858"
"909","890"
"965","910"
"1015","966"
"1023","1016"
"1049","1024"
"1069","1050"
"1077","1070"
"1103","1078"
"1135","1104"
"1155","1136"
"1193","1156"
"1237","1194"
"1284","1241"
"1316","1285"
"1348","1317"
"1398","1349"
"1436","1399"
"1492","1437"
"1512","1493"
"1562","1513"
"1588","1563"
"1620","1589"
"1670","1621"
"1705","1674"
"1713","1706"
"1757","1714"
"1765","1758"
"1824","1769"
"1838","1825"
"1894","1839"
"1920","1895"
"1928","1921"
"1948","1929"
"1968","1949"
"1982","1969"
"2002","1983"
"2040","2003"
"2054","2041"
"2068","2055"
"2082","2069"
"2132","2083"
"2160","2135"
"2216","2161"
"2254","2217"
"2268","2255"
"2282","2269"
"2332","2283"
"2388","2333"
