"id:ID","length:INT"
"7","461"
"8","879"
"9","829"
"10","732"
"11","857"
"13","294"
"14","306"
"15","597"
"16","396"
"17","518"
"19","974"
"20","324"
"21","996"
"22","455"
"23","582"
"30","679"
"31","745"
"32","711"
"33","733"
"34","449"
"36","483"
"37","636"
"38","849"
"39","345"
"40","771"
"42","209"
"43","721"
"44","436"
"45","818"
"46","153"
"48","764"
"49","872"
"50","515"
"51","11"
"52","994"
"54","692"
"55","-588"
"56","896"
"57","325"
"58","800"
"62","220"
"63","929"
"64","152"
"65","886"
"66","23"
"68","437"
"69","375"
"70","942"
"71","18"
"72","488"
"73","437"
"75","625"
"76","111"
"77","757"
"78","711"
"79","740"
"81","456"
"82","434"
"83","613"
"84","801"
"85","386"
"87","829"
"88","619"
"89","620"
"90","181"
"91","54"
"93","763"
"94","890"
"95","736"
"96","836"
"97","746"
"99","638"
"100","102"
"101","517"
"102","-783"
"103","566"
"107","931"
"108","119"
"109","342"
"110","986"
"111","798"
"115","772"
"116","981"
"117","186"
"118","324"
"119","881"
"121","521"
"122","750"
"123","250"
"124","579"
"125","39"
"127","894"
"128","-949"
"129","-716"
"130","942"
"131","547"
"133","403"
"134","616"
"135","870"
"136","344"
"137","333"
"139","258"
"140","889"
"141","465"
"142","470"
"143","343"
"144","799"
"146","994"
"147","167"
"148","466"
"149","886"
"150","248"
"151","111"
"158","820"
"159","428"
"160","714"
"161","-733"
"162","372"
"164","94"
"165","737"
"166","433"
"167","149"
"168","773"
"172","415"
"173","136"
"174","640"
"175","267"
"176","94"
"178","644"
"179","519"
"180","643"
"181","207"
"182","157"
"184","553"
"185","536"
"186","783"
"187","283"
"188","574"
"190","970"
"191","39"
"192","83"
"193","632"
"194","453"
"198","208"
"199","611"
"200","605"
"201","386"
"202","781"
"204","42"
"205","772"
"206","817"
"207","503"
"208","847"
"210","270"
"211","195"
"212","899"
"213","373"
"214","423"
"216","291"
"217","95"
"218","522"
"219","984"
"220","460"
"222","759"
"223","61"
"224","917"
"225","569"
"226","971"
"227","571"
"229","35"
"230","718"
"231","307"
"232","161"
"233","1000"
"235","909"
"236","750"
"237","200"
"238","79"
"239","135"
"243","432"
"244","589"
"245","533"
"246","632"
"247","469"
"249","225"
"250","966"
"251","517"
"252","778"
"253","467"
"255","182"
"256","972"
"257","349"
"258","695"
"259","223"
"261","282"
"262","983"
"263","78"
"264","229"
"265","137"
"269","50"
"270","578"
"271","596"
"272","836"
"273","120"
"275","341"
"276","654"
"277","96"
"278","997"
"279","809"
"281","507"
"282","83"
"283","186"
"284","915"
"285","303"
"287","31"
"288","100"
"289","741"
"290","569"
"291","881"
"293","838"
"294","215"
"295","845"
"296","573"
"297","475"
"299","723"
"300","495"
"301","123"
"302","772"
"303","769"
"305","456"
"306","148"
"307","922"
"308","912"
"309","-451"
"311","827"
"312","594"
"313","498"
"314","752"
"315","29"
"319","827"
"320","941"
"321","26"
"322","939"
"323","703"
"325","236"
"326","994"
"327","837"
"328","479"
"329","297"
"331","283"
"332","52"
"333","694"
"334","895"
"335","140"
"337","57"
"338","250"
"339","935"
"340","235"
"341","326"
"343","392"
"344","628"
"345","558"
"346","110"
"347","30"
"349","351"
"350","54"
"351","509"
"352","196"
"353","675"
"360","26"
"361","772"
"362","473"
"363","726"
"364","421"
"366","960"
"367","833"
"368","318"
"369","531"
"370","36"
"372","544"
"373","287"
"374","632"
"375","252"
"376","611"
"378","719"
"379","118"
"380","902"
"381","387"
"382","12"
"384","724"
"385","455"
"386","296"
"387","-684"
"388","810"
"390","83"
"391","625"
"392","605"
"393","501"
"394","555"
"396","717"
"397","779"
"398","520"
"399","585"
"400","11"
"402","60"
"403","686"
"404","867"
"405","940"
"406","965"
"407","836"
"409","422"
"410","-144"
"411","43"
"412","938"
"413","693"
"417","907"
"418","225"
"419","409"
"420","78"
"421","34"
"423","664"
"424","807"
"425","851"
"426","898"
"427","731"
"429","173"
"430","587"
"431","113"
"432","3"
"433","326"
"435","531"
"436","192"
"437","290"
"438","126"
"439","620"
"441","210"
"442","38"
"443","598"
"444","172"
"445","263"
"447","217"
"448","482"
"449","421"
"450","921"
"451","40"
"453","393"
"454","233"
"455","542"
"456","770"
"457","147"
"461","74"
"462","952"
"463","524"
"464","5"
"465","133"
"467","220"
"468","508"
"469","268"
"470","280"
"471","609"
"473","768"
"474","969"
"475","316"
"476","9"
"477","941"
"479","75"
"480","686"
"481","759"
"482","357"
"483","533"
"485","915"
"486","831"
"487","573"
"488","237"
"489","95"
"491","340"
"492","597"
"493","995"
"494","382"
"495","685"
"497","473"
"498","514"
"499","214"
"500","574"
"501","868"
"505","220"
"506","319"
"507","706"
"508","35"
"509","383"
"511","578"
"512","832"
"513","741"
"514","343"
"515","261"
"517","19"
"518","923"
"519","848"
"520","808"
"521","77"
"523","823"
"524","588"
"525","286"
"526","-902"
"527","868"
"529","461"
"530","997"
"531","25"
"532","735"
"533","665"
"535","727"
"536","77"
"537","84"
"538","11"
"539","417"
"541","573"
"542","447"
"543","340"
"544","748"
"545","135"
"549","452"
"550","887"
"551","461"
"552","183"
"553","-816"
"555","852"
"556","364"
"557","525"
"558","615"
"559","721"
"563","303"
"564","77"
"565","710"
"566","845"
"567","835"
"571","595"
"572","714"
"573","210"
"574","630"
"575","61"
"577","730"
"578","387"
"579","864"
"580","731"
"581","761"
"583","647"
"584","666"
"585","464"
"586","375"
"587","825"
"589","284"
"590","236"
"591","420"
"592","855"
"593","856"
"595","212"
"596","78"
"597","58"
"598","-957"
"599","633"
"601","379"
"602","830"
"603","40"
"604","534"
"605","945"
"607","923"
"608","142"
"609","275"
"610","382"
"611","557"
"613","745"
"614","900"
"615","482"
"616","758"
"617","723"
"619","575"
"620","131"
"621","211"
"622","911"
"623","452"
"624","248"
"628","192"
"629","759"
"630","180"
"631","504"
"632","471"
"634","762"
"635","364"
"636","566"
"637","367"
"638","685"
"640","461"
"641","883"
"642","255"
"643","-263"
"644","926"
"646","608"
"647","104"
"648","763"
"649","99"
"650","929"
"652","55"
"653","317"
"654","813"
"655","914"
"656","258"
"658","232"
"659","404"
"660","280"
"661","927"
"662","265"
"664","324"
"665","15"
"666","309"
"667","596"
"668","584"
"669","887"
"671","380"
"672","625"
"673","883"
"674","378"
"675","805"
"679","562"
"680","488"
"681","152"
"682","438"
"683","362"
"685","970"
"686","389"
"687","237"
"688","170"
"689","809"
"691","704"
"692","123"
"693","460"
"694","719"
"695","738"
"699","455"
"700","272"
"701","655"
"702","411"
"703","793"
"705","212"
"706","546"
"707","570"
"708","399"
"709","248"
"713","358"
"714","459"
"715","522"
"716","529"
"717","643"
"719","14"
"720","897"
"721","604"
"722","242"
"723","263"
"725","795"
"726","156"
"727","479"
"728","514"
"729","938"
"733","992"
"734","211"
"735","940"
"736","685"
"737","281"
"739","263"
"740","885"
"741","-814"
"742","18"
"743","145"
"745","550"
"746","925"
"747","84"
"748","75"
"749","464"
"753","-645"
"754","164"
"755","220"
"756","395"
"757","710"
"759","794"
"760","327"
"761","754"
"762","515"
"763","767"
"765","456"
"766","918"
"767","116"
"768","513"
"769","105"
"776","867"
"777","732"
"778","415"
"779","517"
"780","200"
"782","770"
"783","894"
"784","262"
"785","546"
"786","395"
"788","964"
"789","528"
"790","918"
"791","153"
"792","910"
"794","851"
"795","196"
"796","151"
"797","795"
"798","166"
"800","428"
"801","663"
"802","986"
"803","889"
"804","319"
"806","772"
"807","802"
"808","335"
"809","26"
"810","779"
"812","243"
"813","665"
"814","557"
"815","199"
"816","788"
"818","983"
"819","830"
"820","179"
"821","555"
"822","608"
"826","692"
"827","329"
"828","593"
"829","946"
"830","554"
"832","10"
"833","167"
"834","209"
"835","625"
"836","8"
"838","68"
"839","811"
"840","354"
"841","787"
"842","222"
"844","796"
"845","642"
"846","24"
"847","909"
"848","946"
"850","208"
"851","751"
"852","276"
"853","394"
"854","436"
"858","122"
"859","581"
"860","929"
"861","406"
"862","491"
"864","887"
"865","424"
"866","234"
"867","283"
"868","781"
"870","443"
"871","134"
"872","519"
"873","268"
"874","499"
"876","343"
"877","431"
"878","954"
"879","196"
"880","704"
"882","177"
"883","84"
"884","931"
"885","484"
"886","18"
"888","488"
"889","988"
"890","251"
"891","224"
"892","301"
"894","39"
"895","66"
"896","782"
"897","968"
"898","687"
"902","220"
"903","434"
"904","216"
"905","160"
"906","268"
"908","488"
"909","894"
"910","691"
"911","546"
"912","610"
"914","132"
"915","193"
"916","578"
"917","982"
"918","805"
"920","340"
"921","366"
"922","128"
"923","833"
"924","475"
"925","197"
"927","388"
"928","246"
"929","175"
"930","446"
"931","214"
"933","941"
"934","60"
"935","381"
"936","667"
"937","589"
"939","563"
"940","815"
"941","547"
"942","616"
"943","121"
"945","186"
"946","560"
"947","801"
"948","257"
"949","558"
"953","832"
"954","250"
"955","151"
"956","63"
"957","653"
"959","350"
"960","967"
"961","388"
"962","37"
"963","597"
"965","676"
"966","711"
"967","649"
"968","135"
"969","267"
"971","145"
"972","211"
"973","85"
"974","874"
"975","748"
"977","674"
"978","478"
"979","86"
"980","898"
"981","526"
"983","608"
"984","123"
"985","251"
"986","523"
"987","98"
"989","548"
"990","129"
"991","890"
"992","599"
"993","470"
"997","111"
"998","704"
"999","423"
"1000","463"
"1001","734"
"1003","425"
"1004","704"
"1005","209"
"1006","240"
"1007","589"
"1009","640"
"1010","760"
"1011","488"
"1012","912"
"1013","945"
"1015","87"
"1016","90"
"1017","974"
"1018","205"
"1019","692"
"1021","682"
"1022","392"
"1023","800"
"1024","-282"
"1025","385"
"1027","878"
"1028","190"
"1029","214"
"1030","867"
"1031","213"
"1033","366"
"1034","887"
"1035","409"
"1036","279"
"1037","36"
"1041","9"
"1042","279"
"1043","801"
"1044","210"
"1045","575"
"1047","618"
"1048","961"
"1049","731"
"1050","601"
"1051","807"
"1053","313"
"1054","922"
"1055","250"
"1056","518"
"1057","205"
"1059","527"
"1060","927"
"1061","152"
"1062","656"
"1063","431"
"1065","323"
"1066","241"
"1067","927"
"1068","542"
"1069","992"
"1071","849"
"1072","568"
"1073","867"
"1074","620"
"1075","303"
"1079","69"
"1080","85"
"1081","784"
"1082","234"
"1083","627"
"1085","555"
"1086","365"
"1087","488"
"1088","583"
"1089","972"
"1091","873"
"1092","75"
"1093","533"
"1094","688"
"1095","953"
"1097","86"
"1098","292"
"1099","320"
"1100","793"
"1101","991"
"1103","281"
"1104","843"
"1105","304"
"1106","780"
"1107","911"
"1109","938"
"1110","-74"
"1111","942"
"1112","995"
"1113","501"
"1115","547"
"1116","202"
"1117","274"
"1118","743"
"1119","932"
"1121","29"
"1122","174"
"1123","369"
"1124","335"
"1125","368"
"1127","216"
"1128","225"
"1129","366"
"1130","631"
"1131","467"
"1135","424"
"1136","836"
"1137","314"
"1138","287"
"1139","679"
"1141","722"
"1142","638"
"1143","-621"
"1144","515"
"1145","467"
"1147","557"
"1148","902"
"1149","95"
"1150","829"
"1151","49"
"1158","690"
"1159","832"
"1160","769"
"1161","25"
"1162","359"
"1164","-954"
"1165","913"
"1166","244"
"1167","498"
"1168","262"
"1170","534"
"1171","159"
"1172","859"
"1173","494"
"1174","214"
"1176","665"
"1177","858"
"1178","435"
"1179","469"
"1180","-286"
"1182","835"
"1183","337"
"1184","757"
"1185","729"
"1186","147"
"1188","997"
"1189","457"
"1190","779"
"1191","537"
"1192","185"
"1194","748"
"1195","756"
"1196","567"
"1197","777"
"1198","912"
"1202","26"
"1203","670"
"1204","718"
"1205","749"
"1206","872"
"1208","489"
"1209","821"
"1210","979"
"1211","864"
"1212","985"
"1214","613"
"1215","166"
"1216","821"
"1217","210"
"1218","730"
"1222","142"
"1223","900"
"1224","867"
"1225","644"
"1226","277"
"1228","576"
"1229","912"
"1230","-496"
"1231","585"
"1232","688"
"1234","453"
"1235","-924"
"1236","303"
"1237","840"
"1238","931"
"1240","381"
"1241","552"
"1242","690"
"1243","127"
"1244","760"
"1246","983"
"1247","-970"
"1248","149"
"1249","96"
"1250","471"
"1252","485"
"1253","767"
"1254","613"
"1255","977"
"1256","244"
"1258","948"
"1259","258"
"1260","966"
"1261","397"
"1262","935"
"1264","972"
"1265","701"
"1266","170"
"1267","800"
"1268","371"
"1270","193"
"1271","906"
"1272","99"
"1273","636"
"1274","695"
"1278","170"
