"id:START_ID","id:END_ID"
"3","24"
"26","152"
"26","112"
"26","104"
"26","59"
"154","354"
"154","316"
"154","266"
"154","240"
"154","195"
"154","169"
"356","730"
"356","750"
"356","770"
"356","676"
"356","696"
"356","710"
"356","625"
"356","414"
"356","458"
"356","502"
"356","546"
"356","568"
"356","560"
"772","1076"
"772","1152"
"772","1132"
"772","899"
"772","823"
"772","855"
"772","994"
"772","1038"
"772","950"
"1154","1275"
"1154","1325"
"1154","1199"
"1154","1219"
"1327","1354"
"1327","1410"
"1327","1436"
"1327","2021"
"1327","1971"
"1327","2066"
"1327","1801"
"1327","1793"
"1327","1742"
"1327","1716"
"1327","1927"
"1327","1877"
"1327","1583"
"1327","1615"
"1327","1665"
"1327","1480"
"1327","1519"
"1327","1557"
"1327","1827"
"2068","2101"
"2068","2423"
"2068","2403"
"2068","2494"
"2068","2468"
"2068","2514"
"2068","2359"
"2068","2303"
"2068","2289"
"2068","2251"
"2068","2243"
"2068","2229"
"2068","2141"
"2068","2133"
"2068","2191"
"2068","2565"
"2567","2680"
"2567","2700"
"2567","2745"
"2567","2913"
"2567","2624"
"2567","2887"
"2567","2830"
"2567","2810"
"2567","2771"
"2914","2965"
"2914","3015"
"2914","3146"
"2914","3081"
"2914","3108"
"2914","3035"
"2914","3055"
