"id:START_ID","id:END_ID"
"24","5"
"59","28"
"104","60"
"112","105"
"152","113"
"169","156"
"195","170"
"240","196"
"266","241"
"316","267"
"354","317"
"414","358"
"458","415"
"502","459"
"546","503"
"560","547"
"568","561"
"625","569"
"676","626"
"696","677"
"710","697"
"730","711"
"750","731"
"770","751"
"823","774"
"855","824"
"899","856"
"950","900"
"994","951"
"1038","995"
"1076","1039"
"1132","1077"
"1152","1133"
"1199","1156"
"1219","1200"
"1275","1220"
"1325","1276"
"1354","1329"
"1410","1355"
"1436","1411"
"1480","1437"
"1519","1481"
"1557","1520"
"1583","1558"
"1615","1584"
"1665","1616"
"1716","1666"
"1742","1717"
"1793","1743"
"1801","1794"
"1827","1802"
"1877","1828"
"1927","1878"
"1971","1928"
"2021","1972"
"2066","2022"
"2101","2070"
"2133","2102"
"2141","2134"
"2191","2142"
"2229","2192"
"2243","2230"
"2251","2244"
"2289","2252"
"2303","2290"
"2359","2304"
"2403","2360"
"2423","2404"
"2468","2424"
"2494","2469"
"2514","2495"
"2565","2515"
"2624","2569"
"2680","2625"
"2700","2681"
"2745","2701"
"2771","2746"
"2810","2772"
"2830","2811"
"2887","2831"
"2913","2888"
"2965","2916"
"3015","2966"
"3035","3016"
"3055","3036"
"3081","3056"
"3108","3082"
"3146","3109"
