"id:ID","currentPosition"
"5","FAILURE"
"28","DIVERGING"
"42","STRAIGHT"
"98","STRAIGHT"
"118","DIVERGING"
"129","DIVERGING"
"149","DIVERGING"
"187","STRAIGHT"
"243","FAILURE"
"269","FAILURE"
"319","FAILURE"
"346","STRAIGHT"
"354","STRAIGHT"
"374","FAILURE"
"406","FAILURE"
"444","STRAIGHT"
"470","FAILURE"
"490","DIVERGING"
"498","FAILURE"
"554","FAILURE"
"605","STRAIGHT"
"643","FAILURE"
"697","STRAIGHT"
"753","DIVERGING"
"791","DIVERGING"
"811","FAILURE"
"833","STRAIGHT"
"871","FAILURE"
"909","STRAIGHT"
"960","FAILURE"
"1010","DIVERGING"
"1054","FAILURE"
"1092","STRAIGHT"
"1112","STRAIGHT"
"1138","STRAIGHT"
"1194","DIVERGING"
