"id:ID","position"
"24","FAILURE"
"41","DIVERGING"
"97","STRAIGHT"
"117","STRAIGHT"
"125","FAILURE"
"148","DIVERGING"
"186","FAILURE"
"242","STRAIGHT"
"268","FAILURE"
"318","FAILURE"
"345","FAILURE"
"353","STRAIGHT"
"373","STRAIGHT"
"405","FAILURE"
"443","FAILURE"
"469","STRAIGHT"
"489","DIVERGING"
"497","DIVERGING"
"553","FAILURE"
"604","DIVERGING"
"642","STRAIGHT"
"693","FAILURE"
"752","STRAIGHT"
"790","FAILURE"
"810","DIVERGING"
"830","FAILURE"
"870","STRAIGHT"
"908","FAILURE"
"959","STRAIGHT"
"1009","FAILURE"
"1053","FAILURE"
"1091","FAILURE"
"1111","STRAIGHT"
"1137","STRAIGHT"
"1193","STRAIGHT"
"1225","DIVERGING"
