":ID","currentPosition"
"4","STRAIGHT"
"51","STRAIGHT"
"71","STRAIGHT"
"109","STRAIGHT"
"135","STRAIGHT"
"149","FAILURE"
"187","FAILURE"
"243","FAILURE"
"269","FAILURE"
"319","STRAIGHT"
"346","STRAIGHT"
"354","DIVERGING"
"374","FAILURE"
"406","STRAIGHT"
"444","FAILURE"
"470","STRAIGHT"
"493","DIVERGING"
"549","STRAIGHT"
"600","FAILURE"
"638","DIVERGING"
"689","FAILURE"
"733","FAILURE"
"765","STRAIGHT"
"791","FAILURE"
"847","DIVERGING"
"855","STRAIGHT"
"905","DIVERGING"
"928","DIVERGING"
"984","FAILURE"
"1022","FAILURE"
"1030","STRAIGHT"
"1074","STRAIGHT"
"1119","FAILURE"
"1146","DIVERGING"
"1166","DIVERGING"
"1200","FAILURE"
"1238","STRAIGHT"
"1294","FAILURE"
"1348","FAILURE"
"1386","DIVERGING"
"1421","FAILURE"
"1441","FAILURE"
"1492","DIVERGING"
"1512","STRAIGHT"
"1551","FAILURE"
"1583","FAILURE"
"1609","FAILURE"
"1623","FAILURE"
"1661","DIVERGING"
"1718","STRAIGHT"
"1750","STRAIGHT"
"1758","STRAIGHT"
"1814","STRAIGHT"
"1856","DIVERGING"
"1864","STRAIGHT"
"1915","STRAIGHT"
"1953","FAILURE"
"1979","FAILURE"
"1999","STRAIGHT"
"2043","FAILURE"
"2087","DIVERGING"
"2119","STRAIGHT"
"2133","DIVERGING"
"2147","STRAIGHT"
"2161","FAILURE"
"2205","STRAIGHT"
"2243","STRAIGHT"
"2269","DIVERGING"
"2327","FAILURE"
"2356","DIVERGING"
"2388","STRAIGHT"
"2432","DIVERGING"
"2458","DIVERGING"
"2466","DIVERGING"
"2495","FAILURE"
"2542","FAILURE"
"2580","DIVERGING"
"2630","STRAIGHT"
