":ID","position"
"47","STRAIGHT"
"70","STRAIGHT"
"108","STRAIGHT"
"134","STRAIGHT"
"148","STRAIGHT"
"186","FAILURE"
"242","FAILURE"
"268","FAILURE"
"318","FAILURE"
"345","STRAIGHT"
"353","STRAIGHT"
"373","DIVERGING"
"405","FAILURE"
"443","STRAIGHT"
"469","FAILURE"
"489","STRAIGHT"
"548","DIVERGING"
"599","STRAIGHT"
"637","FAILURE"
"688","DIVERGING"
"732","DIVERGING"
"764","FAILURE"
"790","STRAIGHT"
"846","FAILURE"
"854","DIVERGING"
"904","STRAIGHT"
"924","DIVERGING"
"983","DIVERGING"
"1021","DIVERGING"
"1029","FAILURE"
"1073","STRAIGHT"
"1118","STRAIGHT"
"1145","DIVERGING"
"1165","FAILURE"
"1199","FAILURE"
"1237","FAILURE"
"1293","STRAIGHT"
"1344","FAILURE"
"1385","FAILURE"
"1417","DIVERGING"
"1440","FAILURE"
"1491","FAILURE"
"1511","DIVERGING"
"1550","STRAIGHT"
"1582","FAILURE"
"1608","FAILURE"
"1622","FAILURE"
"1660","FAILURE"
"1717","DIVERGING"
"1749","STRAIGHT"
"1757","STRAIGHT"
"1813","STRAIGHT"
"1852","STRAIGHT"
"1863","FAILURE"
"1914","STRAIGHT"
"1952","STRAIGHT"
"1978","DIVERGING"
"1998","FAILURE"
"2042","STRAIGHT"
"2086","FAILURE"
"2118","FAILURE"
"2132","STRAIGHT"
"2146","DIVERGING"
"2160","STRAIGHT"
"2204","FAILURE"
"2242","STRAIGHT"
"2268","STRAIGHT"
"2326","DIVERGING"
"2352","FAILURE"
"2387","DIVERGING"
"2431","STRAIGHT"
"2457","DIVERGING"
"2465","DIVERGING"
"2491","DIVERGING"
"2539","FAILURE"
"2579","FAILURE"
"2629","DIVERGING"
"2685","STRAIGHT"
