"id:START_ID","id:END_ID"
"3","24"
"26","125"
"26","117"
"26","97"
"26","41"
"127","693"
"127","604"
"127","642"
"127","553"
"127","489"
"127","469"
"127","148"
"127","186"
"127","268"
"127","242"
"127","318"
"127","353"
"127","345"
"127","373"
"127","405"
"127","443"
"127","497"
"695","790"
"695","752"
"695","830"
"695","810"
"832","1194"
"832","1226"
"832","1092"
"832","909"
"832","871"
"832","1010"
"832","1054"
"832","960"
"832","1138"
"832","1112"
"1228","1246"
"1228","1237"
"1248","1407"
"1248","1451"
"1248","1484"
"1248","1305"
"1248","1325"
"1248","1381"
"1248","1855"
"1248","1828"
"1248","1669"
"1248","1661"
"1248","1683"
"1248","1721"
"1248","1540"
"1248","1573"
"1248","1623"
"1248","1911"
"1248","1937"
"1248","1969"
"1248","1777"
"1971","2080"
"1971","1992"
"1971","2036"
"1971","2198"
"1971","2126"
"1971","2112"
"1971","2154"
"1971","2140"
"1971","2262"
"1971","2236"
"2264","2638"
"2264","2694"
"2264","2744"
"2264","2782"
"2264","2802"
"2264","2349"
"2264","2291"
"2264","2299"
"2264","2580"
"2264","2600"
"2264","2495"
"2264","2527"
"2264","2535"
"2264","2463"
"2264","2455"
"2264","2399"
"2803","2836"
"2803","2870"
"2803","2850"
"2803","2890"
"2803","3139"
"2803","3082"
"2803","2994"
"2803","3032"
"2803","2934"
"2803","2956"
"2803","2948"
