tool,format,storage
EMF API,EMF,in-memory
VIATRA (Incremental),EMF,in-memory
VIATRA (Local Search),EMF,in-memory
Neo4j (Core API-CSV),property graph,disk-resident
Neo4j (Cypher-CSV),property graph,disk-resident
Neo4j (Core API-GraphML),property graph,disk-resident
Neo4j (Cypher-GraphML),property graph,disk-resident
Neo4j (Core API-Binary),property graph,disk-resident
Neo4j (Cypher-Binary),property graph,disk-resident
TinkerGraph,property graph,in-memory
Jena (Inferencing),RDF,in-memory
Jena (No Inferencing),RDF,in-memory
MySQL,SQL,disk-resident
SQLite,SQL,in-memory
